geneid,genename
ENSMUSG00000040204,2810417H13Rik
ENSMUSG00000041881,Ndufa7
ENSMUSG00000060739,Nsa2
ENSMUSG00000020914,Top2a
ENSMUSG00000086316,2210013O21Rik
ENSMUSG00000022193,Psmb5
ENSMUSG00000014956,Ppp1cb
ENSMUSG00000059900,Tmem40
ENSMUSG00000022370,Mrpl13
ENSMUSG00000022403,St13
ENSMUSG00000029322,Plac8
ENSMUSG00000007739,Cct4
ENSMUSG00000047867,Gimap6
ENSMUSG00000021660,Btf3
ENSMUSG00000016087,Fli1
ENSMUSG00000062006,Rpl34
ENSMUSG00000007656,Arpp19
ENSMUSG00000047260,Emc6
ENSMUSG00000028851,Nudc
ENSMUSG00000034664,Itga2b
ENSMUSG00000004849,Ap1s1
ENSMUSG00000038005,2700029M09Rik
ENSMUSG00000009927,Rps25
ENSMUSG00000026878,Rab14
ENSMUSG00000020444,Guk1
ENSMUSG00000020440,Arf5
ENSMUSG00000026872,Zeb2
ENSMUSG00000005873,Reep5
ENSMUSG00000056201,Cfl1
ENSMUSG00000031059,Ndufb11
ENSMUSG00000056209,Npm3
ENSMUSG00000057863,Rpl36
ENSMUSG00000003380,Rabac1
ENSMUSG00000027236,Eif3j1
ENSMUSG00000030707,Coro1a
ENSMUSG00000026083,Eif5b
ENSMUSG00000036398,Ppp1r11
ENSMUSG00000061136,Prpf40a
ENSMUSG00000001175,Calm1
ENSMUSG00000002379,Ndufa11
ENSMUSG00000018293,Pfn1
ENSMUSG00000032562,Gnai2
ENSMUSG00000107002,0610012G03Rik
ENSMUSG00000062580,Timm17a
ENSMUSG00000032892,Rangrf
ENSMUSG00000078784,1810022K09Rik
ENSMUSG00000019210,Atp6v1e1
ENSMUSG00000033386,Frrs1
ENSMUSG00000024290,Rock1
ENSMUSG00000037710,Cisd1
ENSMUSG00000033940,Brk1
ENSMUSG00000018583,G3bp1
ENSMUSG00000018585,Atox1
ENSMUSG00000006095,Tbcb
ENSMUSG00000061288,Taok3
ENSMUSG00000032388,Spg21
ENSMUSG00000061286,Exosc5
ENSMUSG00000042354,Gnl3
ENSMUSG00000032383,Ppib
ENSMUSG00000032381,Fam96a
ENSMUSG00000019982,Myb
ENSMUSG00000020048,Hsp90b1
ENSMUSG00000026728,Vim
ENSMUSG00000070544,Top1
ENSMUSG00000050708,Ftl1
ENSMUSG00000027835,Pdcd10
ENSMUSG00000024835,Coro1b
ENSMUSG00000033760,Rbm4b
ENSMUSG00000022407,Adsl
ENSMUSG00000086290,Snhg12
ENSMUSG00000026615,Eprs
ENSMUSG00000058064,Gm10036
ENSMUSG00000015165,Hnrnpl
ENSMUSG00000024587,Nars
ENSMUSG00000005474,Myl10
ENSMUSG00000024583,Txnl1
ENSMUSG00000024346,Pfdn1
ENSMUSG00000026727,Rsu1
ENSMUSG00000050071,Bex1
ENSMUSG00000024610,Cd74
ENSMUSG00000033543,Gtf2a2
ENSMUSG00000005054,Cstb
ENSMUSG00000033161,Atp1a1
ENSMUSG00000067194,Eif1ax
ENSMUSG00000032966,Fkbp1a
ENSMUSG00000034321,Exosc1
ENSMUSG00000058407,Txndc9
ENSMUSG00000026721,Rabgap1l
ENSMUSG00000019505,Ubb
ENSMUSG00000022400,Rbx1
ENSMUSG00000029455,Aldh2
ENSMUSG00000015994,Fnta
ENSMUSG00000062397,Zfp706
ENSMUSG00000024248,Cox7a2l
ENSMUSG00000027593,Raly
ENSMUSG00000030717,Nupr1
ENSMUSG00000027611,Procr
ENSMUSG00000030007,Cct7
ENSMUSG00000041645,Ddx24
ENSMUSG00000036504,Phpt1
ENSMUSG00000037058,Paip2
ENSMUSG00000033020,Polr2f
ENSMUSG00000033751,Gadd45gip1
ENSMUSG00000005481,Ddx39
ENSMUSG00000001924,Uba1
ENSMUSG00000015759,Cnih1
ENSMUSG00000058503,Fam133b
ENSMUSG00000040212,Emp3
ENSMUSG00000031167,Rbm3
ENSMUSG00000027133,Nop10
ENSMUSG00000055839,Tceb2
ENSMUSG00000024335,Brd2
ENSMUSG00000079426,Arpc4
ENSMUSG00000024339,Tap2
ENSMUSG00000024338,Psmb8
ENSMUSG00000025935,Tram1
ENSMUSG00000036478,Btg1
ENSMUSG00000027227,Sord
ENSMUSG00000051627,Hist1h1e
ENSMUSG00000009585,Apobec3
ENSMUSG00000014769,Psmb1
ENSMUSG00000019179,Mdh2
ENSMUSG00000015656,Hspa8
ENSMUSG00000074476,Spc24
ENSMUSG00000029993,Nfu1
ENSMUSG00000030224,Strap
ENSMUSG00000030220,Arhgdib
ENSMUSG00000012405,Rpl15
ENSMUSG00000031848,Lsm4
ENSMUSG00000003429,Rps11
ENSMUSG00000047675,Rps8
ENSMUSG00000019710,Mrpl24
ENSMUSG00000030824,Nucb1
ENSMUSG00000003955,Fam162a
ENSMUSG00000040699,Limd2
ENSMUSG00000041453,Rpl21
ENSMUSG00000027829,Ccnl1
ENSMUSG00000041459,Tardbp
ENSMUSG00000031532,Saraf
ENSMUSG00000041859,Mcm3
ENSMUSG00000073002,Vamp5
ENSMUSG00000005732,Ranbp1
ENSMUSG00000031996,Aplp2
ENSMUSG00000039630,Hnrnpu
ENSMUSG00000038722,Bud31
ENSMUSG00000031246,Sh3bgrl
ENSMUSG00000016495,Plgrkt
ENSMUSG00000006289,Osgep
ENSMUSG00000023932,Cdc5l
ENSMUSG00000002416,Ndufb2
ENSMUSG00000018666,Cbx1
ENSMUSG00000050856,Atp5k
ENSMUSG00000035530,Eif1
ENSMUSG00000038812,Trmt112
ENSMUSG00000064341,mt-Nd1
ENSMUSG00000064345,mt-Nd2
ENSMUSG00000014226,Cacybp
ENSMUSG00000093904,Tomm20
ENSMUSG00000034932,Mrpl54
ENSMUSG00000062825,Actg1
ENSMUSG00000028034,Fubp1
ENSMUSG00000048865,Arhgap30
ENSMUSG00000032712,2810474O19Rik
ENSMUSG00000023939,Mrpl14
ENSMUSG00000016319,Slc25a5
ENSMUSG00000028580,Pum1
ENSMUSG00000028581,Laptm5
ENSMUSG00000028618,Tmem59
ENSMUSG00000034243,Golgb1
ENSMUSG00000026019,Wdr12
ENSMUSG00000003161,Sri
ENSMUSG00000046516,Cox17
ENSMUSG00000025351,Cd63
ENSMUSG00000021474,Sfxn1
ENSMUSG00000014313,Cox6c
ENSMUSG00000063511,Snrnp70
ENSMUSG00000052962,Mrpl35
ENSMUSG00000053768,Chchd3
ENSMUSG00000060550,H2-Q7
ENSMUSG00000024026,Glo1
ENSMUSG00000091537,Tma7
ENSMUSG00000021500,Ddx46
ENSMUSG00000037706,Cd81
ENSMUSG00000090841,Myl6
ENSMUSG00000024758,Rtn3
ENSMUSG00000018286,Psmb6
ENSMUSG00000032575,Manf
ENSMUSG00000021877,Arf4
ENSMUSG00000021871,Pnp
ENSMUSG00000033379,Atp6v0b
ENSMUSG00000087260,Lamtor5
ENSMUSG00000015575,Atp6v0e
ENSMUSG00000037916,Ndufv1
ENSMUSG00000032407,U2surp
ENSMUSG00000032399,Rpl4
ENSMUSG00000078572,1810043H04Rik
ENSMUSG00000059835,Rpl13-ps3
ENSMUSG00000078578,Ube2d3
ENSMUSG00000032397,Tipin
ENSMUSG00000018446,C1qbp
ENSMUSG00000019173,Rab5c
ENSMUSG00000030738,Eif3c
ENSMUSG00000000184,Ccnd2
ENSMUSG00000017716,Birc5
ENSMUSG00000028772,Zcchc17
ENSMUSG00000020547,Bzw2
ENSMUSG00000042406,Atf4
ENSMUSG00000026918,Brd3
ENSMUSG00000021018,Polr2h
ENSMUSG00000073155,1810058I24Rik
ENSMUSG00000073640,Rpl27-ps3
ENSMUSG00000026914,Psmd14
ENSMUSG00000007041,Clic1
ENSMUSG00000015092,Edf1
ENSMUSG00000061983,Rps12
ENSMUSG00000026353,Ubxn4
ENSMUSG00000026355,Mcm6
ENSMUSG00000026357,Rgs18
ENSMUSG00000026356,Dars
ENSMUSG00000026358,Rgs1
ENSMUSG00000051355,Commd1
ENSMUSG00000004552,Ctse
ENSMUSG00000006715,Gmnn
ENSMUSG00000029152,Ociad1
ENSMUSG00000051223,Bzw1
ENSMUSG00000031221,Igbp1
ENSMUSG00000020850,Prpf8
ENSMUSG00000031229,Atrx
ENSMUSG00000034160,Ogt
ENSMUSG00000022450,Ndufa6
ENSMUSG00000029373,Pf4
ENSMUSG00000022452,Smdt1
ENSMUSG00000035960,Apex1
ENSMUSG00000020160,Meis1
ENSMUSG00000020163,Uqcr11
ENSMUSG00000035569,Ankrd11
ENSMUSG00000068823,Csde1
ENSMUSG00000062981,Mrpl42
ENSMUSG00000038845,Phb
ENSMUSG00000069516,Lyz2
ENSMUSG00000045948,Mrps12
ENSMUSG00000043716,Rpl7
ENSMUSG00000043241,Upf2
ENSMUSG00000023944,Hsp90ab1
ENSMUSG00000034786,Gpsm3
ENSMUSG00000057322,Rpl38
ENSMUSG00000029776,Hibadh
ENSMUSG00000029777,Gars
ENSMUSG00000007458,M6pr
ENSMUSG00000036835,Psenen
ENSMUSG00000042712,Wbp5
ENSMUSG00000023048,Prr13
ENSMUSG00000022216,Psme1
ENSMUSG00000034566,Atp5h
ENSMUSG00000057329,Bcl2
ENSMUSG00000050628,Ubald2
ENSMUSG00000025492,Ifitm3
ENSMUSG00000030315,Vgll4
ENSMUSG00000034165,Ccnd3
ENSMUSG00000030313,Dennd5b
ENSMUSG00000024661,Fth1
ENSMUSG00000005354,Txn2
ENSMUSG00000001674,Ddx18
ENSMUSG00000038690,Atp5j2
ENSMUSG00000030062,Rpn1
ENSMUSG00000058546,Rpl23a
ENSMUSG00000040253,Gbp7
ENSMUSG00000037499,Nenf
ENSMUSG00000067038,Rps12-ps3
ENSMUSG00000021607,Mrpl36
ENSMUSG00000015714,Cers2
ENSMUSG00000040242,Fgfr1op2
ENSMUSG00000006932,Ctnnb1
ENSMUSG00000071068,Treml2
ENSMUSG00000002257,Def6
ENSMUSG00000044734,Serpinb1a
ENSMUSG00000034424,Gcsh
ENSMUSG00000019579,Mydgf
ENSMUSG00000019578,Ubxn6
ENSMUSG00000019370,Calm3
ENSMUSG00000027466,Rbck1
ENSMUSG00000001105,Ift20
ENSMUSG00000024308,Tapbp
ENSMUSG00000006333,Rps9
ENSMUSG00000027472,Pdrg1
ENSMUSG00000022841,Ap2m1
ENSMUSG00000043091,Tuba1c
ENSMUSG00000022148,Fyb
ENSMUSG00000004771,Rab11a
ENSMUSG00000005779,Psmb4
ENSMUSG00000060904,Arl1
ENSMUSG00000051518,Rps19bp1
ENSMUSG00000031403,Dkc1
ENSMUSG00000055053,Nfic
ENSMUSG00000071644,Eef1g
ENSMUSG00000090101,Snhg9
ENSMUSG00000073421,H2-Ab1
ENSMUSG00000073422,H2-Ke6
ENSMUSG00000027881,Prpf38b
ENSMUSG00000030869,Ndufab1
ENSMUSG00000005687,Bcas2
ENSMUSG00000000078,Klf6
ENSMUSG00000027642,Rpn2
ENSMUSG00000040385,Ppp1ca
ENSMUSG00000030042,Pole4
ENSMUSG00000037012,Hk1
ENSMUSG00000024516,Sec11c
ENSMUSG00000091625,Lsm5
ENSMUSG00000039671,Zmynd8
ENSMUSG00000072772,Grcc10
ENSMUSG00000026341,Actr3
ENSMUSG00000033467,Crlf2
ENSMUSG00000020949,Fkbp3
ENSMUSG00000008333,Snrpb2
ENSMUSG00000028426,Rad23b
ENSMUSG00000016494,Cd34
ENSMUSG00000071655,Ubxn1
ENSMUSG00000060802,B2m
ENSMUSG00000051234,Rnf7
ENSMUSG00000029162,Khk
ENSMUSG00000055762,Eef1d
ENSMUSG00000029169,Dhx15
ENSMUSG00000069744,Psmb3
ENSMUSG00000060938,Rpl26
ENSMUSG00000031783,Polr2c
ENSMUSG00000081534,Slc48a1
ENSMUSG00000063229,Ldha
ENSMUSG00000071654,Uqcc3
ENSMUSG00000040824,Snrpd2
ENSMUSG00000024742,Fen1
ENSMUSG00000059208,Hnrnpm
ENSMUSG00000026238,Ptma
ENSMUSG00000015671,Psma2
ENSMUSG00000015672,Mrpl32
ENSMUSG00000041481,Serpina3g
ENSMUSG00000026234,Ncl
ENSMUSG00000027637,1110008F13Rik
ENSMUSG00000020923,Ubtf
ENSMUSG00000024853,Sf3b2
ENSMUSG00000024854,Pold4
ENSMUSG00000055204,Ankrd17
ENSMUSG00000029014,Dnajc2
ENSMUSG00000038274,Fau
ENSMUSG00000037373,Ctbp1
ENSMUSG00000025066,Sfr1
ENSMUSG00000038301,Snx10
ENSMUSG00000045954,Sdpr
ENSMUSG00000042675,Ypel3
ENSMUSG00000021178,Psmc1
ENSMUSG00000028163,Nfkb1
ENSMUSG00000015289,Lage3
ENSMUSG00000028165,Cisd2
ENSMUSG00000029344,Tpst2
ENSMUSG00000022462,Slc38a2
ENSMUSG00000026029,Casp8
ENSMUSG00000023952,Gtpbp2
ENSMUSG00000029580,Actb
ENSMUSG00000047888,Tnrc6b
ENSMUSG00000025068,Gsto1
ENSMUSG00000028692,Akr1a1
ENSMUSG00000028693,Nasp
ENSMUSG00000028691,Prdx1
ENSMUSG00000006498,Ptbp1
ENSMUSG00000003308,Keap1
ENSMUSG00000025486,Sirt3
ENSMUSG00000025487,Psmd13
ENSMUSG00000020571,Pdia6
ENSMUSG00000020570,Sypl
ENSMUSG00000020577,Tspan13
ENSMUSG00000030079,Ruvbl1
ENSMUSG00000004096,Cwc15
ENSMUSG00000042043,Tbca
ENSMUSG00000060586,H2-Eb1
ENSMUSG00000020372,Gnb2l1
ENSMUSG00000054312,Mrps21
ENSMUSG00000053119,Chmp3
ENSMUSG00000054641,Mmrn1
ENSMUSG00000021792,Fam213a
ENSMUSG00000019961,Tmpo
ENSMUSG00000017707,Serinc3
ENSMUSG00000066407,Gm10263
ENSMUSG00000066406,Akap13
ENSMUSG00000052428,Tmco1
ENSMUSG00000018501,Ncor1
ENSMUSG00000037805,Rpl10a
ENSMUSG00000032253,Phip
ENSMUSG00000045128,Rpl18a
ENSMUSG00000033813,Tcea1
ENSMUSG00000035781,R3hdm4
ENSMUSG00000020766,Galk1
ENSMUSG00000032320,Rcn2
ENSMUSG00000032324,Tspan3
ENSMUSG00000052337,Immt
ENSMUSG00000007850,Hnrnph1
ENSMUSG00000022346,Myc
ENSMUSG00000008683,Rps15a
ENSMUSG00000008682,Rpl10
ENSMUSG00000018189,Uchl5
ENSMUSG00000021957,Tkt
ENSMUSG00000030417,Pdcd5
ENSMUSG00000033499,Larp4b
ENSMUSG00000051695,Pcbp1
ENSMUSG00000020994,Pnn
ENSMUSG00000023089,Ndufa5
ENSMUSG00000026254,Eif4e2
ENSMUSG00000027523,Gnas
ENSMUSG00000037152,Ndufc1
ENSMUSG00000006818,Sod2
ENSMUSG00000036315,Znrd1
ENSMUSG00000024217,Snrpc
ENSMUSG00000010095,Slc3a2
ENSMUSG00000000244,Tspan32
ENSMUSG00000001847,Rac1
ENSMUSG00000021484,Lman2
ENSMUSG00000058558,Rpl5
ENSMUSG00000038683,Pak1ip1
ENSMUSG00000027304,Rtf1
ENSMUSG00000024691,Fam111a
ENSMUSG00000058799,Nap1l1
ENSMUSG00000096727,Psmb9
ENSMUSG00000058794,Nfe2
ENSMUSG00000071072,Ptges3
ENSMUSG00000021998,Lcp1
ENSMUSG00000079477,Rab7
ENSMUSG00000064367,mt-Nd5
ENSMUSG00000021832,Psmc6
ENSMUSG00000034345,Gtf2h5
ENSMUSG00000036323,Srp72
ENSMUSG00000078193,Gm2000
ENSMUSG00000074748,Atxn7l3b
ENSMUSG00000061559,Wdr61
ENSMUSG00000028159,Dapp1
ENSMUSG00000045962,Wnk1
ENSMUSG00000034361,Cpne2
ENSMUSG00000009863,Sdhb
ENSMUSG00000025651,Uqcrc1
ENSMUSG00000028156,Eif4e
ENSMUSG00000045767,B230219D22Rik
ENSMUSG00000037822,Smim14
ENSMUSG00000039640,Mrpl12
ENSMUSG00000039067,Psmd7
ENSMUSG00000032745,Gpbp1
ENSMUSG00000047945,Marcksl1
ENSMUSG00000060143,Gm10076
ENSMUSG00000049751,Rpl36al
ENSMUSG00000032740,Ccdc88a
ENSMUSG00000002111,Spi1
ENSMUSG00000053310,Nrgn
ENSMUSG00000029559,2210016L21Rik
ENSMUSG00000053317,Sec61b
ENSMUSG00000038227,Hoxa9
ENSMUSG00000025781,Atp5c1
ENSMUSG00000021037,Ahsa1
ENSMUSG00000021039,Snw1
ENSMUSG00000021149,Gtpbp4
ENSMUSG00000071866,Ppia
ENSMUSG00000024393,Prrc2a
ENSMUSG00000036199,Ndufa13
ENSMUSG00000058443,Rpl10-ps3
ENSMUSG00000078853,Igtp
ENSMUSG00000051811,Cox6b2
ENSMUSG00000013822,Elof1
ENSMUSG00000043962,Thrap3
ENSMUSG00000014294,Ndufa2
ENSMUSG00000032525,Nktr
ENSMUSG00000021843,Ktn1
ENSMUSG00000019942,Cdk1
ENSMUSG00000045817,Zfp36l2
ENSMUSG00000022890,Atp5j
ENSMUSG00000018567,Gabarap
ENSMUSG00000006057,Atp5g1
ENSMUSG00000024014,Pim1
ENSMUSG00000037820,Tgm2
ENSMUSG00000021537,Cetn3
ENSMUSG00000020009,Ifngr1
ENSMUSG00000025508,Rplp2
ENSMUSG00000020149,Rab1a
ENSMUSG00000002028,Kmt2a
ENSMUSG00000042462,Dctpp1
ENSMUSG00000032698,Lmo2
ENSMUSG00000006058,Snf8
ENSMUSG00000024856,Cdk2ap2
ENSMUSG00000034211,Mrps17
ENSMUSG00000025232,Hexa
ENSMUSG00000011884,Gltp
ENSMUSG00000023367,Tmem176a
ENSMUSG00000022858,Tra2b
ENSMUSG00000090137,Uba52
ENSMUSG00000012422,Tmem167
ENSMUSG00000012429,Mplkip
ENSMUSG00000048076,Arf1
ENSMUSG00000109324,Prmt1
ENSMUSG00000003402,Prkcsh
ENSMUSG00000019777,Hdac2
ENSMUSG00000014748,Tex261
ENSMUSG00000030591,Psmd8
ENSMUSG00000027067,Ssrp1
ENSMUSG00000050552,Lamtor4
ENSMUSG00000021218,Gdi2
ENSMUSG00000090733,Rps27
ENSMUSG00000039615,Stub1
ENSMUSG00000041870,Ankrd13a
ENSMUSG00000037321,Tap1
ENSMUSG00000003970,Rpl8
ENSMUSG00000059323,Tonsl
ENSMUSG00000015733,Capza2
ENSMUSG00000014606,Slc25a11
ENSMUSG00000027203,Dut
ENSMUSG00000001056,Nhp2
ENSMUSG00000045503,Sys1
ENSMUSG00000006442,Srm
ENSMUSG00000071662,Polr2g
ENSMUSG00000027808,Serp1
ENSMUSG00000028800,Hdac1
ENSMUSG00000022234,Cct5
ENSMUSG00000029227,Fip1l1
ENSMUSG00000003778,Brd8
ENSMUSG00000022437,Samm50
ENSMUSG00000028798,Eif3i
